iter	RMSE
0	28.45240343
1	27.94345594
2	27.52888175
3	27.16607478
4	26.73415081
5	26.21978878
6	25.8055399
7	25.35838063
8	24.96371372
9	24.55235039
10	24.15080002
11	23.78882313
12	23.48306981
13	23.09440056
14	22.71933685
15	22.42845789
16	22.16678138
17	21.86099376
18	21.49738345
19	21.20475609
20	20.88256961
21	20.60362645
22	20.31128775
23	20.02064568
24	19.79182576
25	19.5497513
26	19.28341055
27	19.04328041
28	18.79974485
29	18.57820126
30	18.3274575
31	18.11031647
32	17.85697818
33	17.65241199
34	17.40087337
35	17.17190999
36	17.01191274
37	16.81553691
38	16.63595197
39	16.41945136
40	16.26238565
41	16.10004763
42	15.92306592
43	15.75534305
44	15.58058361
45	15.42491821
46	15.29576768
47	15.13539801
48	15.00098523
49	14.82870217
50	14.68343745
51	14.52032668
52	14.37510537
53	14.25109317
54	14.14881077
55	14.0393015
56	13.91145246
57	13.81016205
58	13.72256592
59	13.60347637
60	13.52239704
61	13.43876781
62	13.33308272
63	13.24053774
64	13.15002478
65	13.05570337
66	12.93797353
67	12.83546801
68	12.73821744
69	12.65994498
70	12.57746116
71	12.48621248
72	12.39791839
73	12.3201958
74	12.25115147
75	12.15109345
76	12.09177809
77	12.00112914
78	11.93135097
79	11.84320393
80	11.7815718
81	11.6931295
82	11.62818245
83	11.56949307
84	11.48933836
85	11.43558501
86	11.37114254
87	11.3083433
88	11.21855446
89	11.16557253
90	11.11991014
91	11.0774527
92	11.02944
93	10.97978531
94	10.9266074
95	10.87739362
96	10.81594885
97	10.76897964
98	10.70106907
99	10.65128866
100	10.59810049
101	10.55266554
102	10.51698219
103	10.46917009
104	10.41881522
105	10.37597277
106	10.34411245
107	10.30255154
108	10.25667059
109	10.21601744
110	10.16623502
111	10.10791276
112	10.06496291
113	10.01729551
114	9.965441868
115	9.924737923
116	9.886831853
117	9.843728049
118	9.809577594
119	9.767077882
120	9.728258121
121	9.701098635
122	9.668052902
123	9.631042994
124	9.596775653
125	9.555822816
126	9.51189041
127	9.465984683
128	9.439356501
129	9.404834065
130	9.372784167
131	9.339163057
132	9.313364561
133	9.278850204
134	9.244792554
135	9.225583487
136	9.188297556
137	9.154001654
138	9.117359962
139	9.06459138
140	9.040359547
141	9.006875036
142	8.960713338
143	8.919054928
144	8.887106916
145	8.865893544
146	8.826480874
147	8.800027426
148	8.776952811
149	8.7381093
150	8.698050807
151	8.667397925
152	8.635245404
153	8.618656493
154	8.593876434
155	8.571052592
156	8.540008691
157	8.517543876
158	8.481147038
159	8.445513045
160	8.423400579
161	8.396693391
162	8.377343562
163	8.356644815
164	8.339214742
165	8.317035048
166	8.299182185
167	8.260011179
168	8.240193796
169	8.221456386
170	8.197483845
171	8.179351539
172	8.148086679
173	173	8.254130828
174	8.24149356
175	8.21375269
176	8.186813112
177	8.159880392
178	8.136016547
179	8.118591079
180	8.103344195
181	8.090365981
182	8.077133883
183	8.052825238
184	8.029342994
185	8.009182623
186	7.994182453
187	7.95747971188	7.749583127
189	7.73929824
190	7.706450432
191	7.683019387
192	7.660852427
193	7.651942352
194	7.615669305
195	7.599142614
196	7.58122403
197	7.546950673
198198	7.702445102
199	7.669466506
200	7.633874908
201	7.627809802
202	7.614379826
203	7.588045444
204	7.569126018
205	7.54255506
206	7.516102431
207	7.5005500208	7.353127374
209	7.344731513
210	7.337757976
211	7.310131218
212	7.278982598
213	7.256113234
214	7.235601271
215	7.229587276
216	7.214958125
217	7.207908759
218	7.187215511
219	7.16629087
220	7.155875903
221	7.149824856
222	7.138755163
223	7.126088702
224	7.113489806
225	7.103819625
226	7.080873637
227	7.063592976
228	7.051356059
229	7.039988931
230	7.028041216
231	6.999047553
232	6.983864801
233	6.951808377
234	6.946035627
235	6.931924284
236	6.923145557
237	6.907400533
238	6.90339482
239239	6.98039249
240	6.970804424
241	6.94758286
242	6.943160368
243	6.936246618
244	6.913553881
245	6.89835959
246	6.881285758
247	6.87044889
248	6.859169904
249	6.849352617
250	6.836415471
251	6.827589069
252	6.81752273
253	6.801634102
254	6.787618562
255	6.771115418
256	6.753153294
257	6.747964606
258	6.743338392
259	6.725748015
260	6.723025521
261	6.697797325
262	6.66148504
263	6.655227475
264	6.640455945
265	6.63180196
266	6.623784912
267	6.588845619
268	6.575275993
269	6.562219069
270	6.533058508
271	6.526794372
272	6.512520729
273	6.499073469
274	6.492949701
275	6.451099843
276	6.439357254
277	6.426034497
278	6.406988222
279	6.390468188
280	6.381838163
281	6.372596199
282	6.35822309
283	6.351484303
284	6.327070313
285	6.300925636
286	6.298507511
287	6.296196671
288	6.287978835
289	6.281597517
290	6.257503837
291	6.255046729
292	6.235185641
293	6.217330315
294	6.198431686
295	6.191483657
296	6.176353085
297	6.157424556
298	6.144788813
299	6.114522647
300	6.106108798
301	6.103613026
302	6.077004071
303	6.053897308
304	6.051574109
305	6.025906344
306	5.997900558
307	5.97793138
308	5.963397558
309	5.931059856
310	5.92872813
311	5.92300232
312	5.888968957
313	5.886241656
314	5.884379903
315	5.877416923
316	5.875205675
317	5.849442207
318	5.842443092
319	5.816821593
320	5.798222532
321	5.768599475
322	5.76074451
323	5.754494624
324	5.727983175
325	5.719809378
326	5.717716851
327	5.702396141
328	5.700199176
329	5.681350512
330	5.66304331	5.585679943
332	5.570595465
333	5.538802849
334	5.533330645
335	5.504106596
336	5.485596554
337	5.467594573
338	5.439919574
339	5.434740901
340	5.421906822
341	5.420097973
342	5.413909437
343	5.388726534
344	5.357249532
345	5.333046599
346	5.315402221
347	5.294260868
348	5.291917294
349	5.278318766
350	5.251942655
351	5.244838318
352	5.239445812
353	5.221135296
354	5.205365533
355	5.190620772
356	5.183707436
357	5.166393917
358	5.149281073
359	5.122580966
360	5.100367655
361	5.094229897
362	5.08799772
363	5.071083253
364	5.05039561
365	5.048720734
366	5.043417884
367	5.041773647
368	5.016060841
369	4.993502204
370	4.978276566
371	4.961039347
372	4.959052464
373	4.95518046
374	4.93439171
375	4.932381264
376	4.908543887
377	4.902659575
378	4.89779594
379	4.891480112
380	4.871124237
381	4.867533986
382	4.861479795
383	4.836080657
384	4.822843645
385	4.821167192
386	4.819415956
387	4.815755024
388	4.789343462
389	4.757907958
390	4.743256399
391	4.739215935
392	4.722853186
